[dotenv@17.2.3] injecting env (5) from .env.local -- tip: ⚙️  specify custom .env file path with { path: '/custom/path/.env' }

📊 Add Research Snapshots to Articles

Mode: ✏️  APPLY CHANGES
Limit: 1000

📚 Total articles checked: 656
  ✅ cbd-for-phone-anxiety: 100 studies (Moderate)
  ✅ cbd-for-nausea: 93 studies (Moderate)
  ✅ cbd-skin-research: 100 studies (Moderate)
  ✅ cbd-oil-for-pain-vs-cream: 100 studies (Moderate)
  ✅ cbd-oil-for-sleep-vs-gummies: 100 studies (Moderate)
  ✅ cbd-for-dog-skin-issues: 100 studies (Moderate)
  ✅ cbd-for-cat-arthritis: 100 studies (Moderate)
  ✅ cbd-for-feline-stomatitis: 100 studies (Moderate)
  ✅ cbd-for-cat-anxiety: 100 studies (Moderate)
  ✅ cbd-for-cluster-headaches: 100 studies (Moderate)
  ✅ cbd-for-trigeminal-neuralgia: 100 studies (Moderate)
  ✅ cbd-for-diabetic-neuropathy: 100 studies (Moderate)
  ✅ cbd-for-plantar-fasciitis: 100 studies (Moderate)
  ✅ cbd-for-carpal-tunnel: 100 studies (Moderate)
  ✅ cbd-for-tendonitis: 100 studies (Moderate)

  --- Progress: 100/161 ---

  ✅ cbd-for-bursitis: 100 studies (Moderate)
  ✅ cbd-for-tmj: 100 studies (Moderate)
  ✅ cbd-for-restless-legs: 100 studies (Moderate)
  ✅ cbd-for-occipital-neuralgia: 100 studies (Moderate)
  ✅ cbd-for-shingles-pain: 100 studies (Moderate)
  ✅ cbd-for-cat-seizures: 100 studies (Moderate)
  ✅ cbd-for-dog-pain: 100 studies (Moderate)
  ✅ cbd-glossary: 100 studies (Moderate)
  ✅ cbd-for-pet-fireworks-anxiety: 100 studies (Moderate)
  ✅ cbd-for-eye-health: 25 studies (Moderate)
  ✅ cbd-for-dog-seizures: 100 studies (Moderate)
  ✅ cbd-for-travel-anxiety: 100 studies (Moderate)
  ✅ cbd-for-horse-navicular: 100 studies (Moderate)
  ✅ cbd-for-crohns-disease: 4 studies (Limited)
  ✅ cbd-for-holiday-stress: 100 studies (Moderate)
  ✅ cbd-for-chemotherapy-side-effects: 100 studies (Moderate)
  ✅ cbd-for-ulcerative-colitis: 4 studies (Limited)
  ✅ cbd-for-ibs: 4 studies (Limited)
  ✅ how-cbd-affects-brain: 100 studies (Moderate)
  ✅ cbd-serotonin-receptors: 100 studies (Moderate)
  ✅ cbd-for-glaucoma: 25 studies (Moderate)
  ✅ cbd-for-dental-anxiety: 100 studies (Moderate)
  ✅ cbd-for-addiction-recovery: 70 studies (Moderate)
  ✅ cbd-for-smoking-cessation: 70 studies (Moderate)
  ✅ cbd-for-alcohol-withdrawal: 70 studies (Moderate)
  ✅ cbd-for-seasonal-depression: 100 studies (Moderate)
  ✅ cbd-for-bipolar-disorder: 100 studies (Moderate)
  ✅ cbd-for-schizophrenia: 100 studies (Moderate)
  ✅ key-cbd-sleep-studies: 100 studies (Moderate)
  ✅ cbd-for-entrepreneurs: 100 studies (Moderate)
  ✅ cbd-for-opioid-tapering: 70 studies (Moderate)
  ✅ cbd-for-public-speakers: 100 studies (Moderate)
  ✅ cbd-for-people-with-adhd: 11 studies (Moderate)
  ✅ marketing-claims-cbd: 100 studies (Moderate)
  ✅ cbd-and-chiropractic-care: 100 studies (Moderate)
  ✅ cbd-for-lawyers: 100 studies (Moderate)
  ✅ does-cbd-cause-headaches: 100 studies (Moderate)
  ✅ cbd-for-public-speaking: 100 studies (Moderate)
  ✅ cbd-before-dentist: 100 studies (Moderate)
  ✅ cbd-for-moving-house: 100 studies (Moderate)
  ✅ cbd-for-social-events: 100 studies (Moderate)
  ✅ cbd-for-family-gatherings: 100 studies (Moderate)
  ✅ cbd-for-tension-headaches: 100 studies (Moderate)
  ✅ cbd-for-frozen-shoulder: 100 studies (Moderate)
  ✅ cbd-for-generalized-anxiety: 100 studies (Moderate)
  ✅ cbd-for-interview-anxiety: 100 studies (Moderate)
  ✅ cbd-for-sciatica: 100 studies (Moderate)
  ✅ cbd-for-multiple-sclerosis: 100 studies (Moderate)
  ✅ cbd-for-autism-support: 58 studies (Moderate)
  ✅ cbd-for-type-a-personalities: 100 studies (Moderate)

  --- Progress: 150/161 ---

  ✅ cbd-for-financial-advisors: 100 studies (Moderate)
  ✅ cbd-for-seasonal-affective-disorder: 100 studies (Moderate)
  ✅ cbd-for-motion-sickness: 93 studies (Moderate)
  ✅ cbd-for-eye-strain: 25 studies (Moderate)
  ✅ cbd-for-job-interviews: 100 studies (Moderate)

📁 PILLAR
  ✅ cbd-and-your-body: 100 studies (Moderate)

📁 SCIENCE
  ✅ trpv-receptors: 100 studies (Moderate)
  ✅ adenosine-receptors: 100 studies (Moderate)
  ✅ what-is-cbc: 100 studies (Moderate)
  ✅ cbd-mechanisms-of-action: 100 studies (Moderate)
  ✅ cbd-withdrawal: 70 studies (Moderate)


═══════════════════════════════════════════════════════════
📊 RESULTS
═══════════════════════════════════════════════════════════
  Research Snapshots added: 161
  Skipped (no research data): 0
═══════════════════════════════════════════════════════════

✅ Added Research Snapshots to 161 articles
